analysis_family,record_type,sampling_seed,is_primary_seed,group_a,group_b,sampled_n_a,sampled_n_b,sampled_mean_a,sampled_mean_b,sampled_median_a,sampled_median_b,q25_a,q75_a,pairwise_mean_difference,pairwise_median_difference,effect_size_rank_biserial,sign_agreement_mean_fraction,sign_agreement_median_fraction,sign_agreement_effect_fraction,stability_status
luhk,pair,20260718,False,72 | Woodland / shrubland / grassland / wetland,73 | Woodland / shrubland / grassland / wetland,613,150.0,1.942119806859077,1.5112273915608725,1.5606327056884766,1.1065311431884766,0.8035526275634766,2.694421768188477,0.4308924152982045,0.4541015625,0.1322566612289288,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,group,20260719,False,31 | GIC / open space,,10000,,5.640797852087021,,3.9312744140625,,1.8631534576416016,8.900135040283203,,,,,,,group_distribution_record
luhk,group,20260719,False,51 | Other urban / built-up land,,4,,4.671876907348633,,4.691232681274414,,3.467721939086914,5.895387649536133,,,,,,,group_distribution_record
luhk,group,20260719,False,71 | Woodland / shrubland / grassland / wetland,,1346,,2.2800590648339374,,2.089929580688477,,1.1065311431884766,3.0718021392822266,,,,,,,group_distribution_record
luhk,group,20260719,False,72 | Woodland / shrubland / grassland / wetland,,613,,1.9590742381906432,,1.5606327056884766,,0.8035526275634766,2.694421768188477,,,,,,,group_distribution_record
luhk,group,20260719,False,73 | Woodland / shrubland / grassland / wetland,,150,,1.429736302693685,,1.0307559967041016,,0.6520328521728516,2.3619494438171387,,,,,,,group_distribution_record
luhk,pair,20260719,False,31 | GIC / open space,51 | Other urban / built-up land,10000,4.0,5.640797852087021,4.671876907348633,3.9312744140625,4.691232681274414,1.8631534576416016,8.900135040283203,0.9689209447383876,-0.7599582672119141,-0.086975,0.85,0.4,0.25,insufficient_coverage_for_conclusion
luhk,pair,20260719,False,31 | GIC / open space,71 | Woodland / shrubland / grassland / wetland,10000,1346.0,5.640797852087021,2.2800590648339374,3.9312744140625,2.089929580688477,1.8631534576416016,8.900135040283203,3.360738787253083,1.8413448333740237,0.4012863298662703,1.0,1.0,1.0,stable_sign_across_seeds
luhk,pair,20260719,False,31 | GIC / open space,72 | Woodland / shrubland / grassland / wetland,10000,613.0,5.640797852087021,1.9590742381906432,3.9312744140625,1.5606327056884766,1.8631534576416016,8.900135040283203,3.681723613896377,2.3706417083740234,0.4795611745513866,1.0,1.0,1.0,insufficient_coverage_for_conclusion
luhk,pair,20260719,False,31 | GIC / open space,73 | Woodland / shrubland / grassland / wetland,10000,150.0,5.640797852087021,1.429736302693685,3.9312744140625,1.0307559967041016,1.8631534576416016,8.900135040283203,4.211061549393335,2.9005184173583984,0.5779019999999999,1.0,1.0,1.0,stable_sign_across_seeds
