analysis_family,group_a,group_b,n_full_a,n_full_b,n_sampled_a,n_sampled_b,n_images_a,n_images_b,effect_size_name,effect_size,mean_difference_a_minus_b,median_difference_a_minus_b,interpretation_status,skipped_reason
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | concrete_pavement,72 | Woodland / shrubland / grassland / wetland | vegetation_tree,5,31244,2,609,1,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | concrete_pavement,73 | Woodland / shrubland / grassland / wetland | vegetation_tree,5,7253,2,150,1,2,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | roof,71 | Woodland / shrubland / grassland / wetland | vegetation_tree,365,75704,15,1338,2,4,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | roof,72 | Woodland / shrubland / grassland / wetland | concrete_pavement,365,60,15,6,2,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | roof,72 | Woodland / shrubland / grassland / wetland | roof,365,104,15,7,2,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | roof,72 | Woodland / shrubland / grassland / wetland | vegetation_tree,365,31244,15,609,2,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | roof,73 | Woodland / shrubland / grassland / wetland | vegetation_tree,365,7253,15,150,2,2,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | vegetation_tree,72 | Woodland / shrubland / grassland / wetland | concrete_pavement,75704,60,1338,6,4,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | vegetation_tree,72 | Woodland / shrubland / grassland / wetland | roof,75704,104,1338,7,4,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | vegetation_tree,72 | Woodland / shrubland / grassland / wetland | vegetation_tree,75704,31244,1338,609,4,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
luhk_surface_cover,71 | Woodland / shrubland / grassland / wetland | vegetation_tree,73 | Woodland / shrubland / grassland / wetland | vegetation_tree,75704,7253,1338,150,4,2,rank_biserial_correlation,0.3008719481813653,0.7607503898974133,1.0212860107421875,exploratory_effect_size,
luhk_surface_cover,72 | Woodland / shrubland / grassland / wetland | concrete_pavement,72 | Woodland / shrubland / grassland / wetland | roof,60,104,6,7,1,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,72 | Woodland / shrubland / grassland / wetland | concrete_pavement,72 | Woodland / shrubland / grassland / wetland | vegetation_tree,60,31244,6,609,1,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,72 | Woodland / shrubland / grassland / wetland | concrete_pavement,73 | Woodland / shrubland / grassland / wetland | vegetation_tree,60,7253,6,150,1,2,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,72 | Woodland / shrubland / grassland / wetland | roof,72 | Woodland / shrubland / grassland / wetland | vegetation_tree,104,31244,7,609,1,1,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,72 | Woodland / shrubland / grassland / wetland | roof,73 | Woodland / shrubland / grassland / wetland | vegetation_tree,104,7253,7,150,1,2,rank_biserial_correlation,,,,skipped,At least one group has fewer than 100 sampled pixels.
luhk_surface_cover,72 | Woodland / shrubland / grassland / wetland | vegetation_tree,73 | Woodland / shrubland / grassland / wetland | vegetation_tree,31244,7253,609,150,1,2,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
surface_cover_shadow,bare_soil | shadow=0,bare_soil | shadow=1,10222,0,221,0,2,0,rank_biserial_correlation,,,,skipped,Within-cover shadow contrast skipped because both shadow_flag=0 and shadow_flag=1 are not present.
surface_cover_shadow,concrete_pavement | shadow=0,concrete_pavement | shadow=1,322856,0,6677,0,5,0,rank_biserial_correlation,,,,skipped,Within-cover shadow contrast skipped because both shadow_flag=0 and shadow_flag=1 are not present.
surface_cover_shadow,grass_low_vegetation | shadow=0,grass_low_vegetation | shadow=1,39392,0,770,0,5,0,rank_biserial_correlation,,,,skipped,Within-cover shadow contrast skipped because both shadow_flag=0 and shadow_flag=1 are not present.
surface_cover_shadow,roof | shadow=0,roof | shadow=1,569601,0,9406,0,5,0,rank_biserial_correlation,,,,skipped,Within-cover shadow contrast skipped because both shadow_flag=0 and shadow_flag=1 are not present.
surface_cover_shadow,vegetation_tree | shadow=0,vegetation_tree | shadow=1,696329,0,10000,0,5,0,rank_biserial_correlation,,,,skipped,Within-cover shadow contrast skipped because both shadow_flag=0 and shadow_flag=1 are not present.
image_comparison,DJI_20260107143259_0005,DJI_20260107143320_0007,327680,327680,2500,2500,1,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
image_comparison,DJI_20260107143259_0005,DJI_20260107143328_0008,327680,327680,2500,2500,1,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
image_comparison,DJI_20260107143259_0005,DJI_20260107143344_0009,327680,327680,2500,2500,1,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
image_comparison,DJI_20260107143259_0005,DJI_20260107143401_0011,327680,327680,2500,2500,1,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
image_comparison,DJI_20260107143320_0007,DJI_20260107143328_0008,327680,327680,2500,2500,1,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
image_comparison,DJI_20260107143320_0007,DJI_20260107143344_0009,327680,327680,2500,2500,1,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
image_comparison,DJI_20260107143320_0007,DJI_20260107143401_0011,327680,327680,2500,2500,1,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
image_comparison,DJI_20260107143328_0008,DJI_20260107143344_0009,327680,327680,2500,2500,1,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
image_comparison,DJI_20260107143328_0008,DJI_20260107143401_0011,327680,327680,2500,2500,1,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
image_comparison,DJI_20260107143344_0009,DJI_20260107143401_0011,327680,327680,2500,2500,1,1,rank_biserial_correlation,,,,skipped,At least one group occurs in fewer than 2 images.
